model	policy	ranking	group	n	R@1	R@3	R@5	MRR	heading@3	irrelevant_heading@3
qwen_bare	baseline	dense	all_answerable	36	0.8056	0.9167	0.9444	0.8610	0.3889	0.3519
qwen_bare	baseline	dense	body_only	32	0.7813	0.9063	0.9375	0.8436	0.3333	0.3333
qwen_bare	baseline	dense	heading_fact	4	1.0000	1.0000	1.0000	1.0000	0.8333	0.5000
qwen_bare	baseline	dense	short_fact	4	0.7500	1.0000	1.0000	0.8750	0.6667	0.6667
qwen_bare	baseline	dense	numeric	4	0.0000	0.2500	0.5000	0.1656	0.9167	0.9167
qwen_bare	baseline	dense	identifier	2	0.5000	1.0000	1.0000	0.6667	0.6667	0.6667
qwen_bare	baseline	dense	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0741	0.0741
qwen_bare	baseline	dense	unanswerable	4	NA	NA	NA	NA	0.8333	0.8333
qwen_bare	baseline	hybrid	all_answerable	36	0.9167	1.0000	1.0000	0.9583	0.3148	0.2778
qwen_bare	baseline	hybrid	body_only	32	0.9063	1.0000	1.0000	0.9531	0.2708	0.2708
qwen_bare	baseline	hybrid	heading_fact	4	1.0000	1.0000	1.0000	1.0000	0.6667	0.3333
qwen_bare	baseline	hybrid	short_fact	4	0.7500	1.0000	1.0000	0.8750	0.6667	0.6667
qwen_bare	baseline	hybrid	numeric	4	1.0000	1.0000	1.0000	1.0000	0.6667	0.6667
qwen_bare	baseline	hybrid	identifier	2	1.0000	1.0000	1.0000	1.0000	0.5000	0.5000
qwen_bare	baseline	hybrid	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0370	0.0370
qwen_bare	baseline	hybrid	unanswerable	4	NA	NA	NA	NA	0.7500	0.7500
qwen_bare	experiment	dense	all_answerable	36	0.8056	0.8333	0.8611	0.8296	0.0000	0.0000
qwen_bare	experiment	dense	body_only	32	0.9063	0.9375	0.9688	0.9333	0.0000	0.0000
qwen_bare	experiment	dense	heading_fact	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
qwen_bare	experiment	dense	short_fact	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_bare	experiment	dense	numeric	4	0.5000	0.5000	0.7500	0.5917	0.0000	0.0000
qwen_bare	experiment	dense	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_bare	experiment	dense	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0000	0.0000
qwen_bare	experiment	dense	unanswerable	4	NA	NA	NA	NA	0.0000	0.0000
qwen_bare	experiment	hybrid	all_answerable	36	0.8333	0.8889	0.8889	0.8611	0.0000	0.0000
qwen_bare	experiment	hybrid	body_only	32	0.9375	1.0000	1.0000	0.9688	0.0000	0.0000
qwen_bare	experiment	hybrid	heading_fact	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
qwen_bare	experiment	hybrid	short_fact	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_bare	experiment	hybrid	numeric	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_bare	experiment	hybrid	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_bare	experiment	hybrid	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0000	0.0000
qwen_bare	experiment	hybrid	unanswerable	4	NA	NA	NA	NA	0.0000	0.0000
qwen_instruct	baseline	dense	all_answerable	36	0.8889	0.9722	1.0000	0.9361	0.2963	0.2593
qwen_instruct	baseline	dense	body_only	32	0.8750	0.9688	1.0000	0.9281	0.2500	0.2500
qwen_instruct	baseline	dense	heading_fact	4	1.0000	1.0000	1.0000	1.0000	0.6667	0.3333
qwen_instruct	baseline	dense	short_fact	4	0.7500	1.0000	1.0000	0.8750	0.5833	0.5833
qwen_instruct	baseline	dense	numeric	4	0.7500	0.7500	1.0000	0.8000	0.5833	0.5833
qwen_instruct	baseline	dense	identifier	2	0.5000	1.0000	1.0000	0.7500	0.6667	0.6667
qwen_instruct	baseline	dense	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0370	0.0370
qwen_instruct	baseline	dense	unanswerable	4	NA	NA	NA	NA	0.6667	0.6667
qwen_instruct	baseline	hybrid	all_answerable	36	0.9444	1.0000	1.0000	0.9722	0.2593	0.2222
qwen_instruct	baseline	hybrid	body_only	32	0.9375	1.0000	1.0000	0.9688	0.2083	0.2083
qwen_instruct	baseline	hybrid	heading_fact	4	1.0000	1.0000	1.0000	1.0000	0.6667	0.3333
qwen_instruct	baseline	hybrid	short_fact	4	0.7500	1.0000	1.0000	0.8750	0.5833	0.5833
qwen_instruct	baseline	hybrid	numeric	4	1.0000	1.0000	1.0000	1.0000	0.5833	0.5833
qwen_instruct	baseline	hybrid	identifier	2	1.0000	1.0000	1.0000	1.0000	0.6667	0.6667
qwen_instruct	baseline	hybrid	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0000	0.0000
qwen_instruct	baseline	hybrid	unanswerable	4	NA	NA	NA	NA	0.5000	0.5000
qwen_instruct	experiment	dense	all_answerable	36	0.8333	0.8889	0.8889	0.8611	0.0000	0.0000
qwen_instruct	experiment	dense	body_only	32	0.9375	1.0000	1.0000	0.9688	0.0000	0.0000
qwen_instruct	experiment	dense	heading_fact	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
qwen_instruct	experiment	dense	short_fact	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_instruct	experiment	dense	numeric	4	0.7500	1.0000	1.0000	0.8750	0.0000	0.0000
qwen_instruct	experiment	dense	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_instruct	experiment	dense	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0000	0.0000
qwen_instruct	experiment	dense	unanswerable	4	NA	NA	NA	NA	0.0000	0.0000
qwen_instruct	experiment	hybrid	all_answerable	36	0.8611	0.8889	0.8889	0.8750	0.0000	0.0000
